           0  3.4984034E-02 -1.4093195E-02
           1  6.6878781E-02 -1.1914936E-02
           2  0.1191405     -8.4312875E-03
           3  0.1736976     -4.8425007E-03
           4  0.2195548     -1.8021574E-03
           5  0.2503179      2.6016796E-04
           6  0.2659069      1.2899450E-03
           7  0.2731708      1.7530656E-03
           8  0.2762477      1.9236251E-03
           9  0.2765898      1.9163117E-03
          10  0.2751688      1.7990249E-03
          11  0.2734254      1.6706281E-03
          12  0.2714525      1.5221037E-03
          13  0.2702473      1.4260482E-03
          14  0.2703667      1.4046383E-03
          15  0.2715703      1.4689786E-03
          16  0.2709329      1.4127329E-03
          17  0.2682999      1.2333125E-03
          18  0.2676392      1.1788156E-03
          19  0.2687022      1.2361350E-03
          20  0.2691439      1.2607960E-03
          21  0.2686248      1.2309604E-03
          22  0.2689596      1.2618077E-03
          23  0.2694324      1.2918195E-03
          24  0.2693458      1.2795518E-03
          25  0.2695139      1.2801157E-03
          26  0.2702179      1.3309616E-03
          27  0.2699070      1.3148255E-03
          28  0.2681771      1.2075531E-03
          29  0.2663134      1.0823424E-03
          30  0.2659241      1.0496515E-03
          31  0.2665608      1.0911956E-03
          32  0.2668419      1.1278468E-03
          33  0.2668566      1.1302566E-03
          34  0.2672223      1.1451842E-03
          35  0.2677860      1.1801183E-03
          36  0.2693708      1.2806440E-03
          37  0.2703202      1.3363408E-03
          38  0.2698498      1.2957398E-03
          39  0.2690139      1.2352146E-03
          40  0.2675346      1.1419401E-03
          41  0.2659479      1.0365553E-03
          42  0.2670037      1.1058109E-03
          43  0.2692651      1.2623286E-03
          44  0.2685705      1.2191912E-03
          45  0.2657644      1.0388689E-03
          46  0.2660698      1.0583226E-03
          47  0.2691457      1.2555468E-03
          48  0.2690904      1.2509702E-03
          49  0.2677129      1.1617570E-03
          50  0.2688458      1.2339500E-03
          51  0.2692417      1.2607614E-03
          52  0.2678023      1.1692046E-03
          53  0.2673280      1.1470612E-03
          54  0.2690613      1.2560317E-03
          55  0.2706558      1.3497308E-03
          56  0.2690283      1.2468247E-03
          57  0.2658751      1.0462364E-03
          58  0.2647318      9.7782142E-04
          59  0.2642183      9.3757192E-04
          60  0.2632377      8.5769763E-04
          61  0.2630401      8.3746371E-04
          62  0.2639744      9.0512121E-04
          63  0.2652796      9.9950400E-04
          64  0.2659188      1.0425117E-03
          65  0.2667894      1.1025402E-03
          66  0.2681970      1.1998311E-03
          67  0.2696158      1.2977250E-03
          68  0.2691343      1.2677942E-03
          69  0.2665052      1.0942799E-03
          70  0.2647625      9.7512046E-04
          71  0.2650505      9.8486186E-04
          72  0.2658294      1.0347796E-03
          73  0.2655943      1.0277064E-03
          74  0.2647151      9.8326383E-04
          75  0.2668552      1.1169817E-03
          76  0.2700512      1.3185123E-03
          77  0.2700212      1.3100629E-03
          78  0.2690229      1.2415115E-03
          79  0.2678702      1.1617886E-03
          80  0.2671883      1.1283400E-03
          81  0.2687546      1.2283347E-03
          82  0.2697392      1.2771847E-03
          83  0.2688953      1.2271371E-03
          84  0.2674184      1.1340115E-03
          85  0.2671646      1.1184361E-03
          86  0.2680289      1.1802081E-03
          87  0.2682075      1.1950557E-03
          88  0.2680463      1.1816241E-03
          89  0.2681662      1.1826977E-03
          90  0.2671432      1.1027252E-03
          91  0.2648972      9.6151431E-04
          92  0.2627926      8.3874183E-04
          93  0.2638133      9.0633926E-04
          94  0.2667963      1.0954085E-03
          95  0.2672288      1.1260817E-03
          96  0.2666493      1.0965802E-03
          97  0.2681910      1.2002799E-03
          98  0.2683868      1.2120904E-03
          99  0.2669875      1.1189043E-03
